server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,100,4096,1,1,180974.7,99.0,688.2,849.3,980.8,478.4,606.1,722.3,477.2,603.0,708.9,32.80,0,0,none,
rs,put-reserve-delete,100,4096,1,1,194514.8,219.2,497.8,753.2,898.5,497.9,752.4,902.8,496.9,752.4,900.7,28.38,0,0,none,
ref,put-reserve-delete,100,4096,1,1,23850.2,23.0,1520.1,79436.1,125788.9,1631.8,73915.9,124290.0,1325.6,76174.7,127078.8,26.59,0,0,tls,1006.6
rs,put-reserve-delete,100,4096,1,1,187798.3,252.6,528.5,710.3,813.0,528.7,712.3,816.0,525.4,708.1,810.7,32.95,0,0,tls,
ref,put-reserve-delete,100,4096,1,1,24883.7,25.0,1060.0,94531.9,125513.9,1049.5,84504.3,124252.7,976.5,82473.8,124717.2,31.43,0,0,mtls,1015.3
rs,put-reserve-delete,100,4096,1,1,183195.6,253.6,532.8,831.6,1518.5,533.2,832.2,1516.7,529.8,827.8,1553.6,36.84,0,0,mtls,
ref,put-reserve-delete,100,4096,1,1,105827.5,97.3,1047.9,9148.3,11671.9,704.0,8017.0,10810.8,671.8,1590.8,9200.6,34.37,0,0,default,
rs,put-reserve-delete,100,4096,1,1,174215.5,268.1,546.0,2104.7,2794.5,543.7,2096.4,2794.8,544.0,2085.4,2801.4,32.26,0,0,default,
ref,put-reserve-delete,100,4096,1,1,24304.4,42.1,991.2,91699.0,154807.0,907.1,88469.0,131258.0,930.4,90873.5,127614.5,30.56,0,0,tls-default,985.9
rs,put-reserve-delete,100,4096,1,1,161974.0,304.5,589.3,2150.2,2898.6,587.4,2114.5,2923.1,585.5,2135.6,2911.8,33.79,0,0,tls-default,
