server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,producers-consumers,100,4096,1,2,133101.6,98.6,926.8,1211.9,1421.6,631.8,851.5,1088.6,630.0,848.0,1081.5,12.05
rs,producers-consumers,100,4096,1,2,129727.7,323.4,769.0,1054.0,1409.2,767.9,1053.2,1428.2,766.2,1048.7,1394.7,12.14
ref,producers-consumers,100,4096,1,3,129706.7,98.4,944.5,1265.5,1743.5,643.9,892.8,1587.1,642.5,887.6,1554.4,11.78
rs,producers-consumers,100,4096,1,3,129682.8,330.0,769.3,1030.0,1341.4,768.0,1026.3,1305.1,766.5,1023.0,1355.1,11.80
ref,put-only,1,16,1,1,43839.3,33.0,20.1,58.9,88.0,,,,,,,11.77
rs,put-only,1,16,1,1,35259.1,36.2,24.1,74.4,105.5,,,,,,,11.01
ref,put-only,1,16,1,2,37253.1,32.5,22.6,73.2,104.5,,,,,,,11.56
rs,put-only,1,16,1,2,35368.9,35.8,23.5,77.9,110.9,,,,,,,10.43
ref,put-only,1,16,1,3,37758.4,32.6,22.3,72.8,102.4,,,,,,,10.19
rs,put-only,1,16,1,3,36175.0,35.8,23.1,75.8,107.5,,,,,,,9.64
ref,put-only,1,4096,1,1,34525.0,34.6,24.5,75.9,107.3,,,,,,,9.70
rs,put-only,1,4096,1,1,32323.5,38.6,26.2,80.2,115.4,,,,,,,9.34
ref,put-only,1,4096,1,2,33598.2,34.5,25.2,77.4,107.5,,,,,,,9.38
rs,put-only,1,4096,1,2,30481.1,38.4,27.8,84.5,124.6,,,,,,,9.41
ref,put-only,1,4096,1,3,32991.3,34.1,26.0,77.5,108.2,,,,,,,9.42
rs,put-only,1,4096,1,3,31203.4,38.6,27.2,82.5,115.8,,,,,,,9.66
ref,put-only,10,16,1,1,110137.1,84.0,85.6,195.6,249.8,,,,,,,9.93
rs,put-only,10,16,1,1,99782.3,184.8,96.6,185.5,234.2,,,,,,,9.89
ref,put-only,10,16,1,2,97405.2,84.7,94.0,224.6,280.0,,,,,,,11.64
rs,put-only,10,16,1,2,109304.1,185.0,88.2,170.7,213.2,,,,,,,11.58
ref,put-only,10,16,1,3,112268.4,85.0,83.5,193.3,251.3,,,,,,,11.79
rs,put-only,10,16,1,3,107544.6,181.3,89.3,177.6,252.2,,,,,,,11.53
ref,put-only,10,4096,1,1,98931.8,90.0,93.6,207.0,276.0,,,,,,,10.87
rs,put-only,10,4096,1,1,104063.0,208.3,92.1,181.3,225.3,,,,,,,10.30
ref,put-only,10,4096,1,2,101484.3,90.9,92.2,203.0,268.7,,,,,,,10.58
rs,put-only,10,4096,1,2,103127.3,208.6,93.2,182.0,232.7,,,,,,,10.22
ref,put-only,10,4096,1,3,105704.1,90.7,89.0,188.8,252.0,,,,,,,10.66
rs,put-only,10,4096,1,3,101501.8,209.4,94.5,182.9,227.6,,,,,,,10.45
ref,put-only,100,16,1,1,133115.8,98.7,743.6,1018.1,1537.5,,,,,,,10.28
rs,put-only,100,16,1,1,123834.4,286.0,793.0,1250.6,2680.9,,,,,,,9.98
ref,put-only,100,16,1,2,132966.3,98.7,743.8,1011.7,1595.0,,,,,,,10.82
rs,put-only,100,16,1,2,127820.8,293.3,777.0,1037.9,1396.3,,,,,,,10.49
ref,put-only,100,16,1,3,129356.1,97.7,761.5,1083.0,1470.3,,,,,,,10.76
rs,put-only,100,16,1,3,126741.9,295.0,783.3,1036.3,1244.5,,,,,,,10.59
ref,put-only,100,4096,1,1,111146.8,98.6,882.0,1156.7,2131.0,,,,,,,9.95
rs,put-only,100,4096,1,1,123504.1,329.8,805.5,1104.2,1592.5,,,,,,,9.28
ref,put-only,100,4096,1,2,110287.2,98.6,890.7,1180.9,2126.1,,,,,,,9.71
