server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
rs,put-only,10,4096,1,1,101439.9,202.1,94.5,187.0,237.8,,,,,,,8.96,0,0
ref,put-only,10,4096,1,2,93211.8,88.3,96.8,255.3,428.4,,,,,,,10.15,0,0
rs,put-only,10,4096,1,2,99814.4,204.1,95.4,190.8,254.5,,,,,,,9.97,0,0
ref,put-only,10,4096,1,3,101991.0,91.0,91.6,200.8,265.5,,,,,,,10.81,0,0
rs,put-only,10,4096,1,3,104003.6,201.6,91.8,186.3,329.1,,,,,,,9.85,0,0
ref,put-only,100,16,1,1,152483.8,98.8,652.9,924.8,1626.2,,,,,,,10.08,0,0
rs,put-only,100,16,1,1,128514.9,244.7,772.7,1050.9,1495.2,,,,,,,10.27,0,0
ref,put-only,100,16,1,2,136112.3,98.4,724.3,1066.1,1711.7,,,,,,,10.34,0,0
rs,put-only,100,16,1,2,125838.1,244.3,784.8,1107.4,1539.0,,,,,,,9.62,0,0
ref,put-only,100,16,1,3,129782.7,98.6,756.5,1160.5,1682.8,,,,,,,10.42,0,0
rs,put-only,100,16,1,3,126254.3,243.9,784.4,1070.1,1485.3,,,,,,,9.89,0,0
ref,put-only,100,4096,1,1,106794.9,98.4,910.2,1316.6,2045.5,,,,,,,10.44,0,0
rs,put-only,100,4096,1,1,122068.7,280.3,812.8,1147.7,1938.9,,,,,,,9.51,0,0
ref,put-only,100,4096,1,2,110247.0,98.2,892.8,1287.5,3129.7,,,,,,,10.18,0,0
rs,put-only,100,4096,1,2,120901.9,280.0,816.2,1137.2,1742.1,,,,,,,9.67,0,0
ref,put-only,100,4096,1,3,73076.0,84.2,1054.8,5583.1,8698.9,,,,,,,10.27,0,0
rs,put-only,100,4096,1,3,119638.5,283.0,827.1,1183.1,1839.2,,,,,,,12.28,0,0
ref,put-reserve-delete,10,16,16,1,200234.6,95.4,477.0,1092.2,1400.7,422.7,948.7,1212.3,413.8,958.8,1238.4,12.17,0,0
