server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,100,16,1,5,204738.3,199.9,482.0,652.5,805.4,482.3,652.9,799.6,481.8,650.2,781.0,7.62,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,5,134174.9,215.5,740.4,992.2,1113.8,740.3,992.9,1117.0,739.7,991.9,1102.9,7.57,0,0,cluster-leader,,3,leader,279.0,1:F:33.3;2:F:33.5;3:L*:212.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,107871.4,189.7,924.0,1230.4,1336.3,925.0,1230.8,1336.0,923.6,1227.9,1336.0,7.23,0,0,cluster-follower,,3,follower,269.9,1:F*:186.6;2:F:31.8;3:L:51.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,1,199966.5,209.4,494.6,662.8,761.3,494.4,662.4,762.2,493.6,660.6,760.8,7.21,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,1,115071.0,194.9,859.2,1171.7,3565.4,854.5,1148.7,3942.0,852.6,1140.4,3805.3,7.43,0,0,cluster-leader,,3,leader,258.3,1:F:33.0;2:F:33.0;3:L*:192.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,1,95047.8,175.0,1050.0,1411.5,2839.3,1044.5,1400.2,2686.8,1043.5,1399.2,2727.4,7.48,0,0,cluster-follower,,3,follower,271.3,1:F*:172.1;2:F:35.4;3:L:63.8,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,2,200158.0,210.6,493.4,669.3,812.9,493.3,669.8,797.9,492.5,668.2,800.9,7.30,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,2,115070.1,201.8,865.3,1135.8,2815.5,861.7,1115.6,2749.5,858.9,1118.3,2770.9,7.04,0,0,cluster-leader,,3,leader,266.1,1:F:34.0;2:F:33.7;3:L*:198.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,2,94904.5,176.3,1050.2,1416.2,3233.7,1044.2,1409.2,3221.8,1043.1,1407.7,3295.9,7.36,0,0,cluster-follower,,3,follower,273.8,1:F*:173.6;2:F:35.9;3:L:64.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,3,199258.9,211.5,495.9,667.4,833.1,495.9,667.7,837.2,495.1,665.8,808.5,7.65,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,3,115007.4,204.0,866.3,1134.3,2797.0,862.2,1125.2,2825.1,860.3,1122.7,2793.8,7.44,0,0,cluster-leader,,3,leader,268.7,1:F:34.2;2:F:33.9;3:L*:200.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,3,95657.3,176.5,1041.5,1417.9,3051.3,1035.2,1411.2,2985.5,1034.3,1411.3,3009.6,7.17,0,0,cluster-follower,,3,follower,273.0,1:F*:173.6;2:F:35.5;3:L:63.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,4,209806.3,197.5,467.9,671.4,888.0,468.2,671.6,896.5,467.1,667.8,852.0,7.23,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,4,114401.4,199.8,867.5,1133.5,3225.0,862.0,1124.9,3233.4,858.4,1126.9,3236.8,7.19,0,0,cluster-leader,,3,leader,262.4,1:F:33.2;2:F:33.0;3:L*:196.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,4,94439.1,176.0,1056.8,1431.3,3171.5,1051.6,1427.3,2626.3,1050.1,1423.8,3138.5,7.49,0,0,cluster-follower,,3,follower,271.2,1:F*:172.6;2:F:35.3;3:L:63.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,5,186672.0,226.5,505.9,800.2,970.7,506.0,799.9,1002.0,504.7,796.9,953.1,7.85,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,5,113980.0,200.1,872.8,1207.4,2840.8,868.0,1198.4,2810.2,864.0,1194.4,2909.5,7.87,0,0,cluster-leader,,3,leader,265.6,1:F:34.1;2:F:34.1;3:L*:197.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,5,91832.9,175.1,1070.4,1451.8,3140.2,1063.7,1446.8,3228.8,1063.1,1446.0,3212.6,7.80,0,0,cluster-follower,,3,follower,269.4,1:F*:172.2;2:F:35.1;3:L:62.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,1,177426.1,131.5,54.0,105.5,170.6,54.2,106.0,172.0,53.8,105.6,170.3,7.90,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,1,34258.1,106.8,288.4,384.5,473.5,289.7,386.6,471.3,287.5,383.3,473.0,7.84,0,0,cluster-leader,,3,leader,184.9,1:F:46.1;2:F:46.1;3:L*:92.7,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,1,28597.3,92.4,329.1,516.7,637.8,329.6,515.6,631.0,328.7,516.1,638.8,6.82,0,0,cluster-follower,,3,follower,207.6,1:F*:78.6;2:F:48.2;3:L:80.8,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,2,179208.6,133.7,53.5,104.1,166.4,53.8,104.4,166.2,53.3,103.7,165.2,6.37,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,2,34342.6,109.5,286.9,380.8,463.0,288.0,384.0,467.3,285.9,380.4,465.1,5.98,0,0,cluster-leader,,3,leader,188.7,1:L*:94.2;2:F:47.3;3:F:47.2,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,2,28651.7,92.6,329.1,515.7,615.5,329.1,515.0,611.4,329.0,512.5,631.4,5.53,0,0,cluster-follower,,3,follower,207.3,1:L:81.2;2:F*:78.3;3:F:47.8,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,3,179569.1,134.4,53.4,104.7,166.9,53.7,105.1,166.1,53.1,104.8,166.6,5.25,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,3,34439.2,109.4,286.7,382.6,457.7,288.0,383.3,463.1,285.9,381.6,450.5,4.75,0,0,cluster-leader,,3,leader,186.7,1:F:46.8;2:F:46.6;3:L*:93.3,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,3,28907.9,92.4,325.6,514.1,652.2,325.0,518.2,657.1,325.3,512.2,643.4,4.62,0,0,cluster-follower,,3,follower,206.7,1:F*:78.2;2:F:47.7;3:L:80.8,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,4,179783.0,134.6,53.3,104.6,160.8,53.6,105.2,161.1,53.0,104.3,162.5,5.62,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,4,34248.5,107.3,287.7,384.4,490.1,288.2,383.6,496.3,287.2,384.8,473.0,5.16,0,0,cluster-leader,,3,leader,185.4,1:F:46.0;2:L*:92.9;3:F:46.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,4,28506.6,93.0,333.0,516.2,634.1,332.0,516.2,611.7,332.4,513.1,635.7,5.19,0,0,cluster-follower,,3,follower,207.9,1:F*:78.9;2:F:46.9;3:L:82.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,5,179611.5,135.0,53.4,104.0,167.0,53.6,104.5,164.0,53.2,104.2,166.2,5.77,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,5,34381.5,109.9,287.2,381.5,454.5,287.7,381.5,460.3,286.8,382.0,453.3,5.57,0,0,cluster-leader,,3,leader,188.7,1:F:46.9;2:F:47.3;3:L*:94.5,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,5,28699.8,93.2,328.2,515.0,601.0,328.9,515.8,603.3,328.0,514.9,594.5,4.69,0,0,cluster-follower,,3,follower,206.6,1:F*:79.1;2:L:79.9;3:F:47.6,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,1,169218.6,149.3,57.0,113.2,174.8,57.0,113.4,172.3,56.0,112.0,174.0,5.10,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,1,21051.9,73.3,325.2,5815.6,16324.0,326.6,5935.7,16326.9,324.6,5725.0,16310.5,5.16,0,0,cluster-leader,,3,leader,145.3,1:F:36.4;2:F:36.1;3:L*:72.8,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,1,16565.3,58.6,378.4,8082.7,19400.5,376.9,8069.6,17742.4,376.7,8097.1,19422.1,5.00,0,0,cluster-follower,,3,follower,152.5,1:F*:58.1;2:F:34.5;3:L:59.9,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,2,169715.9,149.3,56.8,114.4,175.4,56.7,114.2,175.2,55.8,113.2,171.5,4.84,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,2,23285.0,81.5,330.9,2964.4,10776.2,331.8,3258.7,10371.2,330.2,2857.7,11907.6,4.48,0,0,cluster-leader,,3,leader,156.0,1:F:38.9;2:F:39.0;3:L*:78.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,2,18967.7,66.1,375.5,6849.4,16413.8,374.0,6826.3,15714.0,374.0,6457.6,16438.2,4.78,0,0,cluster-follower,,3,follower,162.0,1:F*:61.0;2:F:36.9;3:L:64.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,3,168837.3,150.6,57.0,116.1,173.7,57.0,115.3,172.0,56.0,113.8,168.2,4.88,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,3,26651.7,93.9,336.1,1430.0,6652.3,337.3,1425.6,6594.7,334.8,1424.5,7248.7,4.58,0,0,cluster-leader,,3,leader,172.0,1:F:42.9;2:F:43.8;3:L*:85.3,0,0,0,0,0,0,0,0
