server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,100,4096,1,4,18018.8,41.2,5168.5,12232.5,64540.9,5129.0,12088.8,106691.1,5119.0,12524.9,107090.9,6.60,0,0,cluster-follower,,3,follower,92.7,1:F*:41.3;2:F:8.0;3:L:43.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,5,158353.2,252.4,625.4,891.7,1112.6,625.0,893.4,1196.5,623.8,892.2,1170.2,6.55,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,5,18350.2,68.8,3748.8,108227.3,221077.3,3670.6,122200.9,221067.6,3658.4,46249.8,211075.6,6.83,0,0,cluster-leader,,3,leader,81.3,1:F:6.4;2:F:6.2;3:L*:68.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,5,14709.0,32.0,5078.7,108685.7,230613.0,4969.6,108308.3,230620.0,4956.5,108603.8,230706.4,6.49,0,0,cluster-follower,,3,follower,70.0,1:F*:32.1;2:F:5.8;3:L:32.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,1,115694.0,160.9,77.5,223.3,767.0,77.8,223.3,783.0,76.9,223.8,762.0,6.69,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,1,19626.6,91.2,507.7,674.5,845.0,504.1,674.5,839.2,503.5,670.5,829.9,6.70,0,0,cluster-leader,,3,leader,140.9,1:F:27.7;2:F:29.2;3:L*:84.0,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,1,16482.3,52.3,620.0,838.3,1008.8,598.0,826.4,984.8,597.8,823.0,995.4,6.75,0,0,cluster-follower,,3,follower,153.4,1:F*:53.6;2:F:28.7;3:L:71.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,2,144193.3,156.5,66.2,139.4,208.1,66.4,139.8,206.5,65.8,139.2,207.4,6.79,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,16,1,2,19292.9,90.2,516.0,671.1,877.3,513.0,667.2,873.7,511.7,668.1,828.1,6.90,0,0,cluster-leader,,3,leader,139.5,1:F:28.3;2:F:28.1;3:L*:83.1,0,0,0,0,0,0,0,0
rs,producers-consumers,10,16,1,2,16777.2,51.1,607.5,822.2,982.0,586.5,810.7,947.5,585.8,806.2,955.7,6.61,0,0,cluster-follower,,3,follower,150.2,1:F*:51.8;2:F:27.6;3:L:70.8,0,0,0,0,0,0,0,0
