server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,put-only,100,16,1,1,152209.3,98.9,653.4,892.0,1192.2,,,,,,,6.91
rs,put-only,100,16,1,1,132105.3,319.8,748.9,1036.6,1462.0,,,,,,,7.23
ref,put-only,100,16,1,2,151996.1,98.8,653.2,890.3,1434.4,,,,,,,7.14
rs,put-only,100,16,1,2,131881.6,318.6,750.3,1022.2,1270.5,,,,,,,7.25
ref,put-only,100,16,1,3,150839.4,98.9,657.5,904.7,1118.9,,,,,,,8.03
rs,put-only,100,16,1,3,128029.1,322.2,775.2,1047.5,1441.3,,,,,,,7.79
ref,put-only,100,4096,1,1,124717.6,98.4,795.1,1047.2,1369.0,,,,,,,8.13
rs,put-only,100,4096,1,1,124652.3,356.2,793.3,1103.4,1511.0,,,,,,,8.39
ref,put-only,100,4096,1,2,117984.8,97.0,812.0,1119.8,6303.2,,,,,,,8.65
rs,put-only,100,4096,1,2,124071.0,353.1,799.3,1127.8,1458.4,,,,,,,8.35
ref,put-only,100,4096,1,3,123962.5,98.5,800.0,1060.7,1429.8,,,,,,,9.35
rs,put-only,100,4096,1,3,50985.1,134.4,1815.3,4701.7,9695.7,,,,,,,10.03
