server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
rs,put-reserve-delete,100,16,1,3,59128.4,111.5,1744.6,4391.1,35618.7,1470.5,3717.4,35520.8,1452.2,3417.0,41193.7,10.12,0,0,f0
ref,put-reserve-delete,100,4096,1,1,178247.4,98.8,691.9,964.1,1081.2,480.0,672.3,781.1,479.0,670.8,767.3,10.27,0,0,none
rs,put-reserve-delete,100,4096,1,1,225374.3,175.3,439.3,577.0,759.0,439.6,577.5,723.8,439.0,576.1,723.5,10.65,0,0,none
ref,put-reserve-delete,100,4096,1,1,104338.1,97.3,1052.3,8802.5,12351.4,707.9,7844.0,9728.5,670.9,1355.4,8734.4,12.28,0,0,F
rs,put-reserve-delete,100,4096,1,1,175789.7,272.7,548.0,1893.8,2193.2,545.5,1880.5,2188.7,545.8,1880.2,2185.3,12.02,0,0,F
ref,put-reserve-delete,100,4096,1,1,108748.6,97.9,1032.0,8837.9,9770.0,695.0,7653.3,9382.5,659.6,1522.5,8932.8,12.34,0,0,default
rs,put-reserve-delete,100,4096,1,1,172624.8,266.2,550.0,2088.1,2779.1,547.9,2070.8,2793.1,548.2,2076.7,2799.9,11.91,0,0,default
ref,put-reserve-delete,100,4096,1,1,28095.8,36.1,2465.8,10172.0,498950.3,1444.2,8469.3,246982.3,1621.8,3309.4,566534.5,11.44,0,0,f0
rs,put-reserve-delete,100,4096,1,1,20904.8,39.9,1853.8,3629.7,632024.0,1423.1,3121.5,634501.1,1340.3,3313.9,630554.2,10.52,0,0,f0
ref,put-reserve-delete,100,4096,1,2,181898.2,99.1,682.0,928.5,1047.7,472.9,640.5,731.1,472.2,639.4,728.2,9.84,0,0,none
rs,put-reserve-delete,100,4096,1,2,202344.2,207.6,489.1,651.6,749.7,489.1,651.2,748.9,488.2,650.3,746.8,9.37,0,0,none
ref,put-reserve-delete,100,4096,1,2,110935.6,98.9,1027.6,8396.8,8826.5,690.3,7699.5,8395.3,656.5,1048.8,8192.8,9.11,0,0,F
